"mot_quali";"pvalue_quali";"mean_quali";"occu_mot";"mot_defaut";"pvalue_defaut";"mean_defaut";"occu_mot"
"Assez_légumes";1,78648737221166e-15;0,149131354052632;38;"Pas_assez_fruits";4,08070515375922e-05;-0,0847506173333333;27
"Assez_protéines";0,000395315314033046;0,109062046727273;11;"Pas_assez_protéines";0,00112446663744185;-0,0466195490294118;34
"Coloré";0,00184505002410505;0,0407912547142857;7;"Pas_assez_légumes";0,00389143675778379;-0,103756710142857;7
"Diversifié";0,00551963656427302;0,0498059002;5;"Pas_assez_quantité";0,0411314134176574;-0,023986699;2
"Trop_féculents";0,0376134946620575;0,0257335263333333;24;"Pas_assez_fibres";0,122501947662234;-0,014527466;2
"Assez_fruits";0,0965108211830236;0,0221673782941176;17;"Pas_assez_produits_laitiers";0,297029672838906;-0,00778781133333333;3
"Céréales";0,126280672704347;0,033701558;3;"Bonne_digestibilité";0,390692982610815;-0,0263213455;2
"Graines";0,225192375493527;0,0121761876666667;3;"Assez_féculents";0,556234485575956;0,00206469490476191;21
"Pain_complet";0,284536721686852;0,00469543;3;"Vitamines";0,705042694579613;0,010279317;2
"Vitamines";0,294957305420387;0,010279317;2;"Pain_complet";0,715463278313148;0,00469543;3
"Assez_féculents";0,443765514424044;0,00206469490476191;21;"Graines";0,774807624506473;0,0121761876666667;3
"Bonne_digestibilité";0,609307017389185;-0,0263213455;2;"Céréales";0,873719327295653;0,033701558;3
"Pas_assez_produits_laitiers";0,702970327161094;-0,00778781133333333;3;"Assez_fruits";0,903489178816976;0,0221673782941176;17
"Pas_assez_fibres";0,877498052337766;-0,014527466;2;"Trop_féculents";0,962386505337943;0,0257335263333333;24
"Pas_assez_quantité";0,958868586582343;-0,023986699;2;"Diversifié";0,994480363435727;0,0498059002;5
"Pas_assez_légumes";0,996108563242216;-0,103756710142857;7;"Coloré";0,998154949975895;0,0407912547142857;7
"Pas_assez_protéines";0,998875533362558;-0,0466195490294118;34;"Assez_protéines";0,999604684685967;0,109062046727273;11
"Pas_assez_fruits";0,999959192948462;-0,0847506173333333;27;"Assez_légumes";0,999999999999998;0,149131354052632;38
"Pas_assez_garni";NA;-0,000819097;1;"Pas_assez_garni";NA;-0,000819097;1
"Riz_complet";NA;-0,008762108;1;"Riz_complet";NA;-0,008762108;1
