"mot_quali";"pvalue_quali";"mean_quali";"occu_mot";"mot_defaut";"pvalue_defaut";"mean_defaut";"occu_mot"
"Assez_légumes";1,82815049280069e-11;0,117846407647059;34;"Pas_assez_fruits";2,56637242820772e-05;-0,1077881114;25
"Assez_protéines";2,50573117399896e-11;0,128299473727273;33;"Trop_légumes";0,000235039602371939;-0,0592109569166667;12
"Assez_féculents";0,00236429444914785;0,0297356217674419;43;"Pas_assez_protéines";0,00636137392699645;-0,0693581279090909;11
"Diversifié";0,0260118482032847;0,034838088;7;"Assez_fibres";0,0784997054410769;-0,1136810985;2
"Coloré";0,0484509117509287;0,05525099825;4;"Assez_fruits";0,114278168016091;-0,0185449687619048;21
"Protéines_végétales_et_animales";0,206385839126282;0,0365932705;2;"Pas_assez_féculents";0,119201203161208;-0,1318059425;2
"Trop_fibres";0,37348461925153;0,0042777895;2;"Pas_assez_gras";0,187301420730954;-0,070260442;2
"Pas_assez_produits_laitiers";0,721523301478627;-0,02308424275;4;"Trop_protéines";0,221762818990733;-0,038292674;2
"Trop_protéines";0,778237181009267;-0,038292674;2;"Pas_assez_produits_laitiers";0,278476698521373;-0,02308424275;4
"Pas_assez_gras";0,812698579269046;-0,070260442;2;"Trop_fibres";0,62651538074847;0,0042777895;2
"Pas_assez_féculents";0,880798796838792;-0,1318059425;2;"Protéines_végétales_et_animales";0,793614160873718;0,0365932705;2
"Assez_fruits";0,885721831983909;-0,0185449687619048;21;"Coloré";0,951549088249071;0,05525099825;4
"Assez_fibres";0,921500294558923;-0,1136810985;2;"Diversifié";0,973988151796715;0,034838088;7
"Pas_assez_protéines";0,993638626073004;-0,0693581279090909;11;"Assez_féculents";0,997635705550852;0,0297356217674419;43
"Trop_légumes";0,999764960397628;-0,0592109569166667;12;"Assez_protéines";0,999999999974943;0,128299473727273;33
"Pas_assez_fruits";0,999974336275718;-0,1077881114;25;"Assez_légumes";0,999999999981719;0,117846407647059;34
"Pas_assez_sucré";NA;0,003381205;1;"Pas_assez_sucré";NA;0,003381205;1
"Protéines_végétales";NA;0,001351941;1;"Protéines_végétales";NA;0,001351941;1
"Pas_assez_fibres";NA;0,049375836;1;"Pas_assez_fibres";NA;0,049375836;1
"Digestion_rapide";NA;-0,012291172;1;"Digestion_rapide";NA;-0,012291172;1
"Faim";NA;-0,003148584;1;"Faim";NA;-0,003148584;1
"Assez_produits_laitiers";NA;0,162822757;1;"Assez_produits_laitiers";NA;0,162822757;1
"Pas_trop_sucré";NA;0,011075182;1;"Pas_trop_sucré";NA;0,011075182;1
"Pas_trop_gras";NA;0,010363144;1;"Pas_trop_gras";NA;0,010363144;1
"Lactofermentation";NA;-0,011576171;1;"Lactofermentation";NA;-0,011576171;1
"Vitamines";NA;0,003102388;1;"Vitamines";NA;0,003102388;1
"Trop_gras";NA;-0,099758111;1;"Trop_gras";NA;-0,099758111;1
"Trop_féculents";NA;0,062334221;1;"Trop_féculents";NA;0,062334221;1
