"mot_quali";"pvalue_quali";"mean_quali";"occu_mot";"mot_defaut";"pvalue_defaut";"mean_defaut";"occu_mot"
"Assez_légumes";1,04891192423719e-10;0,117968512111111;27;"Pas_assez_fruits";6,35621836516343e-11;-0,128643182388889;36
"Assez_protéines";5,46561135289785e-10;0,108888981032258;31;"Produits_transformés";1,9866505732552e-06;-0,153991437909091;11
"Assez_féculents";0,000530558836357096;0,0546138199666667;30;"Pas_assez_légumes";2,76123072880499e-05;-0,087616780125;16
"Assez_fruits";0,0309722921695292;0,0720958403333333;9;"Trop_gras";0,000191753366269777;-0,0906557685555556;9
"Trop_féculents";0,0337523957633603;0,0271527560833333;12;"Trop_sucré";0,000392957446199019;-0,164003427142857;7
"Trop_lourd";0,0394623849151183;0,0026961255;2;"Trop_protéines";0,0157981744152874;-0,0395708656666667;9
"Trop_fade";0,194860703832593;0,0056080645;2;"Pas_assez_diversifié";0,0189306193343835;-0,0161369635;4
"Pas_assez_coloré";0,625678477091637;-0,0091235025;2;"Trop_légumes";0,021068694172118;-0,057345295;2
"Pas_assez_protéines";0,676062366682923;-0,01224423;5;"Pas_assez_féculents";0,0227411006273373;-0,166060962666667;3
"Pas_assez_produits_laitiers";0,755217682419118;-0,0089907982;5;"Pas_assez_fibres";0,1706275562574;-0,0553541223333333;3
"Pas_assez_quantité";0,812245941393116;-0,031191293;2;"Pas_assez_quantité";0,187754058606884;-0,031191293;2
"Pas_assez_fibres";0,8293724437426;-0,0553541223333333;3;"Pas_assez_produits_laitiers";0,244782317580882;-0,0089907982;5
"Pas_assez_féculents";0,977258899372663;-0,166060962666667;3;"Pas_assez_protéines";0,323937633317077;-0,01224423;5
"Trop_légumes";0,978931305827882;-0,057345295;2;"Pas_assez_coloré";0,374321522908363;-0,0091235025;2
"Pas_assez_diversifié";0,981069380665617;-0,0161369635;4;"Trop_fade";0,805139296167407;0,0056080645;2
"Trop_protéines";0,984201825584713;-0,0395708656666667;9;"Trop_lourd";0,960537615084882;0,0026961255;2
"Trop_sucré";0,999607042553801;-0,164003427142857;7;"Trop_féculents";0,96624760423664;0,0271527560833333;12
"Trop_gras";0,99980824663373;-0,0906557685555556;9;"Assez_fruits";0,969027707830471;0,0720958403333333;9
"Pas_assez_légumes";0,999972387692712;-0,087616780125;16;"Assez_féculents";0,999469441163643;0,0546138199666667;30
"Produits_transformés";0,999998013349427;-0,153991437909091;11;"Assez_protéines";0,999999999453439;0,108888981032258;31
"Pas_assez_fruits";0,999999999936438;-0,128643182388889;36;"Assez_légumes";0,999999999895109;0,117968512111111;27
"Mauvaises_protéines";NA;-0,004748647;1;"Mauvaises_protéines";NA;-0,004748647;1
"Pas_sucré";NA;0,005207952;1;"Pas_sucré";NA;0,005207952;1
"Vitamines";NA;0,015924133;1;"Vitamines";NA;0,015924133;1
"Monochrome";NA;-0,001880251;1;"Monochrome";NA;-0,001880251;1
"Produits_transformées";NA;-0,010674728;1;"Produits_transformées";NA;-0,010674728;1
"Assez_fibres";NA;-0,078758997;1;"Assez_fibres";NA;-0,078758997;1
"Mauvais_féculents";NA;0,005195739;1;"Mauvais_féculents";NA;0,005195739;1
"Trop_sec";NA;-0,021052558;1;"Trop_sec";NA;-0,021052558;1
"Trop_salé";NA;-0,00693347;1;"Trop_salé";NA;-0,00693347;1
"Pas_assez_frais";NA;-0,004696312;1;"Pas_assez_frais";NA;-0,004696312;1
"Mauvais_légumes";NA;0,017859003;1;"Mauvais_légumes";NA;0,017859003;1
"Diversifié";NA;0,062862118;1;"Diversifié";NA;0,062862118;1
"Pas_assez_consistant";NA;-0,002350457;1;"Pas_assez_consistant";NA;-0,002350457;1
"Pas_assez_croquant";NA;-0,000693608;1;"Pas_assez_croquant";NA;-0,000693608;1
"Assez_produits_laitiers";NA;0,089581324;1;"Assez_produits_laitiers";NA;0,089581324;1
"Trop_quantité";NA;-0,007400742;1;"Trop_quantité";NA;-0,007400742;1
"Pas_assez_gras";NA;-0,05063366;1;"Pas_assez_gras";NA;-0,05063366;1
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
