"mot_quali";"pvalue_quali";"mean_quali";"occu_mot";"mot_defaut";"pvalue_defaut";"mean_defaut";"occu_mot"
"Assez_fruits";4,64489261144269e-09;0,07809420215625;32;"Pas_assez_féculents";1,01951552679443e-17;-0,185351003190476;42
"Assez_légumes";4,33487180146275e-06;0,0454525995945946;37;"Trop_fruits";0,000235681179143377;-0,0574059815833333;12
"Assez_protéines";0,000107901009098045;0,0693605255;22;"Viande_rouge";0,00641565291594912;-0,074088527;6
"Assez_produits_laitiers";0,00701091210685255;0,0420520205238095;21;"Trop_produits_laitiers";0,0142944619021772;-0,0190329940588235;17
"Diversifié";0,0100548201512316;0,0571609973333333;3;"Trop_gras";0,0181122163406541;-0,0644107222;5
"Pas_assez_quantité";0,012195645315987;0,0165400995;2;"Trop_protéines";0,0237210101218785;-0,030583272047619;21
"Assez_féculents";0,0212359458725372;0,02674;3;"Trop_sucré";0,102386421418419;-0,1050454805;2
"Simple";0,0283837602508173;0,00907116066666667;3;"Assez_gras";0,335997424302068;-0,008069678;2
"Pas_assez_légumes";0,0630407706175263;0,0177673366;5;"Pas_assez_fibres";0,380897079316156;-0,006861133;2
"Pas_assez_fibres";0,619102920683844;-0,006861133;2;"Pas_assez_légumes";0,936959229382474;0,0177673366;5
"Assez_gras";0,664002575697932;-0,008069678;2;"Simple";0,971616239749183;0,00907116066666667;3
"Trop_sucré";0,897613578581581;-0,1050454805;2;"Assez_féculents";0,978764054127463;0,02674;3
"Trop_protéines";0,976278989878121;-0,030583272047619;21;"Pas_assez_quantité";0,987804354684013;0,0165400995;2
"Trop_gras";0,981887783659346;-0,0644107222;5;"Diversifié";0,989945179848768;0,0571609973333333;3
"Trop_produits_laitiers";0,985705538097823;-0,0190329940588235;17;"Assez_produits_laitiers";0,992989087893147;0,0420520205238095;21
"Viande_rouge";0,993584347084051;-0,074088527;6;"Assez_protéines";0,999892098990902;0,0693605255;22
"Trop_fruits";0,999764318820857;-0,0574059815833333;12;"Assez_légumes";0,999995665128198;0,0454525995945946;37
"Pas_assez_féculents";1;-0,185351003190476;42;"Assez_fruits";0,999999995355107;0,07809420215625;32
"Coloré";NA;0,03715907;1;"Coloré";NA;0,03715907;1
"Produits_non_transformés";NA;0,012111876;1;"Produits_non_transformés";NA;0,012111876;1
"Trop_sec";NA;-0,040639103;1;"Trop_sec";NA;-0,040639103;1
"Trop_légumes";NA;-0,035594552;1;"Trop_légumes";NA;-0,035594552;1
"Vitamines";NA;-0,013814065;1;"Vitamines";NA;-0,013814065;1
"Pas_assez_coloré";NA;-0,000908318;1;"Pas_assez_coloré";NA;-0,000908318;1
"Pas_assez_fruits";NA;-0,177200029;1;"Pas_assez_fruits";NA;-0,177200029;1
"Pas_assez_protéines";NA;0,036159949;1;"Pas_assez_protéines";NA;0,036159949;1
"Pas_Assez_légumes";NA;-0,015428672;1;"Pas_Assez_légumes";NA;-0,015428672;1
"Assez_fibres";NA;-0,017048324;1;"Assez_fibres";NA;-0,017048324;1
