"id","num_stimulus","legumes_fix","feculents_fix","proteines_fix","fruits_fix","legumes_tps","feculents_tps","proteines_tps","fruits_tps","classe"
41,489,20,7,9,0,9520,2851,3771,0,"Equilibre"
40,489,35,10,14,0,10608,5450,6552,0,"Equilibre"
39,489,27,17,21,0,7608,6785,8165,0,"PresqueEquilibre"
38,489,28,20,31,0,11512,7981,12386,0,"Equilibre"
35,489,33,21,27,0,8760,11482,13892,0,"Equilibre"
29,489,9,4,6,0,2064,1941,2538,0,"Equilibre"
28,489,14,8,12,0,6021,3447,4980,0,"PresqueEquilibre"
27,489,4,4,7,0,2152,2656,3855,0,"Equilibre"
26,489,10,3,6,0,3293,2243,3333,0,"Equilibre"
25,489,16,19,25,0,4713,13332,15332,0,"PresqueEquilibre"
22,489,5,3,5,0,930,8449,9495,0,"Equilibre"
23,489,11,6,8,0,3337,5468,5976,0,"Equilibre"
21,489,3,7,9,0,2298,4383,5056,0,"Equilibre"
20,489,11,3,6,0,3516,2377,2975,0,"Equilibre"
18,489,34,17,26,0,12082,11407,16142,0,"PresqueEquilibre"
19,489,28,17,28,0,7785,3814,10410,0,"Equilibre"
17,489,6,4,9,0,1976,1144,3334,0,"PresqueEquilibre"
15,489,27,15,19,0,6559,7076,8689,0,"Equilibre"
16,489,8,2,3,0,4112,732,766,0,"Equilibre"
13,489,14,7,13,0,4021,3587,4725,0,"Equilibre"
14,489,2,2,3,0,750,1542,1817,0,"PresqueEquilibre"
11,489,8,4,6,0,5217,3267,5023,0,"Equilibre"
10,489,9,4,7,0,2027,8017,8994,0,"PresqueEquilibre"
9,489,11,5,10,0,3571,3521,5177,0,"Equilibre"
8,489,14,14,29,0,6671,10091,15916,0,"PresqueEquilibre"
7,489,10,7,21,0,3363,4584,12023,0,"Equilibre"
5,489,12,8,10,0,5518,3061,4146,0,"Equilibre"
6,489,16,6,10,0,6861,4013,5912,0,"Equilibre"
4,489,38,16,20,0,13996,7916,11003,0,"PasEquilibre"
3,489,9,12,20,0,4211,4158,5324,0,"Equilibre"
2,489,7,1,2,0,2365,1343,1911,0,"Equilibre"
37,489,7,6,7,0,3604,3554,3931,0,"Equilibre"
36,489,8,10,16,0,931,5016,8065,0,"PresqueEquilibre"
34,489,13,10,20,0,2870,3618,6555,0,"Equilibre"
33,489,9,6,8,0,3905,5807,6537,0,"PresqueEquilibre"
32,489,8,9,9,0,2249,4835,4835,0,"Equilibre"
31,489,8,11,15,0,3133,4333,7193,0,"Equilibre"
30,489,6,4,6,0,1779,2565,2746,0,"Equilibre"
48,327,6,6,9,0,2250,1578,2227,0,"PasEquilibre"
47,327,5,6,6,2,2098,3100,2603,346,"PasEquilibre"
45,327,7,18,16,3,779,8190,8894,1280,"PresqueEquilibre"
46,327,5,6,5,1,1135,1612,4584,332,"PasEquilibre"
44,327,3,2,3,2,556,870,1944,33,"PasEquilibre"
43,327,8,10,10,3,1405,3415,4191,1088,"PasEquilibre"
42,327,15,16,25,3,6256,5654,13027,1000,"PresqueEquilibre"
41,327,11,14,5,4,2879,4405,3262,1050,"PresqueEquilibre"
39,327,6,14,11,6,523,3220,4637,1899,"PasEquilibre"
38,327,14,24,20,5,3661,9063,11557,1852,"PresqueEquilibre"
35,327,3,13,12,4,524,4412,5480,919,"PasEquilibre"
29,327,3,12,4,2,569,3853,2747,845,"PresqueEquilibre"
28,327,1,5,3,1,566,1370,2176,298,"PasEquilibre"
27,327,4,6,3,3,1699,1681,1696,666,"PasEquilibre"
26,327,7,9,13,4,679,4711,6878,1299,"PresqueEquilibre"
25,327,9,12,13,3,2566,3657,5831,599,"PresqueEquilibre"
24,327,2,6,13,1,566,2775,12539,212,"PasEquilibre"
22,327,4,3,3,2,1456,755,2156,733,"Equilibre"
23,327,3,4,5,1,871,988,6393,358,"PasEquilibre"
21,327,3,3,12,3,609,677,6977,912,"Equilibre"
