"classe","pays","pct_feculents_tps","pct_proteines_tps","pct_fruits_tps","pct_legumes_tps","pct_feculents_fix","pct_proteines_fix","pct_fruits_fix","pct_legumes_fix","cat_max_fix"
"Equilibre","Ukraine",50.4143430447699,29.0821910668682,0,20.5034658883619,54.7619047619048,21.4285714285714,0,23.8095238095238,"feculents"
"PresqueEquilibre","Finland",39.6797388504125,0,15.3248930257179,44.9953681238696,42.4242424242424,0,19.6969696969697,37.8787878787879,"feculents"
"Equilibre","Spain",41.9971724086614,32.1378078726096,2.44065778703773,23.4243619316913,40.9090909090909,27.2727272727273,4.54545454545455,27.2727272727273,"feculents"
"PasEquilibre","France",0,46.1158046569132,41.5104059344735,12.3737894086132,0,39.2857142857143,39.2857142857143,21.4285714285714,"proteines"
"PresqueEquilibre","South Korea",37.4526471403493,38.0532199944562,0,24.4941328651945,27.5862068965517,31.0344827586207,0,41.3793103448276,"legumes"
"PasEquilibre","USA",25.3844853811053,38.0767280716579,0,36.5387865472368,28.5714285714286,42.8571428571429,0,28.5714285714286,"proteines"
"PasEquilibre","Italy",43.0717169318452,42.2880550938019,0,14.6402279743529,41.025641025641,46.1538461538462,0,12.8205128205128,"proteines"
"PasEquilibre","Brazil",46.8864468864469,22.0845046426442,9.20010222335804,21.8289462475509,39.5833333333333,27.0833333333333,8.33333333333333,25,"feculents"
"Equilibre","Greece",48.9970950338913,40.2199474339466,5.17360630792641,5.60935122423572,43.1818181818182,34.0909090909091,9.09090909090909,13.6363636363636,"feculents"
"PasEquilibre","Ukraine",73.7090544986411,13.4315548562437,0,12.8593906451151,70.8333333333333,12.5,0,16.6666666666667,"feculents"
"PresqueEquilibre","Finland",27.8155239859996,0,22.7300802964793,49.4543957175211,38.4615384615385,0,23.0769230769231,38.4615384615385,"legumes"
"Equilibre","Spain",32.2952243125904,21.0709117221418,7.71056439942113,38.9232995658466,37.0967741935484,22.5806451612903,6.45161290322581,33.8709677419355,"feculents"
"Equilibre","France",0,46.7370272647318,41.5479331574318,11.7150395778364,0,28.5714285714286,28.5714285714286,42.8571428571429,"legumes"
"PresqueEquilibre","South Korea",11.997966446365,22.9283172343671,0,65.0737163192679,14.2857142857143,25,0,60.7142857142857,"legumes"
"PasEquilibre","USA",38.4738068948595,31.9960741013373,4.29395166237271,25.2361673414305,31.5789473684211,31.5789473684211,10.5263157894737,26.3157894736842,"proteines"
"Equilibre","Italy",29.2064032697548,34.9284741144414,15.8038147138965,20.0613079019074,30.7692307692308,30.7692307692308,23.0769230769231,15.3846153846154,"proteines"
"PresqueEquilibre","Brazil",34.2580916351408,26.9020596889449,14.9782821913969,23.8615664845173,28.5714285714286,21.4285714285714,14.2857142857143,35.7142857142857,"legumes"
"PresqueEquilibre","Ukraine",44.4481514057808,29.2863425434473,0,26.2655060507719,52.3076923076923,16.9230769230769,0,30.7692307692308,"feculents"
"PresqueEquilibre","Finland",40.2384081096302,0,19.9987485138602,39.7628433765096,32.9896907216495,0,15.4639175257732,51.5463917525773,"legumes"
"Equilibre","Spain",36.0273625538384,22.7261211046364,10.8436787433494,30.4028375981758,35.7142857142857,17.8571428571429,10.7142857142857,35.7142857142857,"legumes"
"PresqueEquilibre","France",0,45.2435260968737,30.6319602844492,24.124513618677,0,35.8974358974359,28.2051282051282,35.8974358974359,"legumes"
"Equilibre","South Korea",24.3552237802213,39.0060190322472,0,36.6387571875315,22.2222222222222,37.037037037037,0,40.7407407407407,"legumes"
"PresqueEquilibre","USA",43.9544807965861,45.677256203572,6.72778041199094,3.64048258785101,43.9024390243902,39.0243902439024,7.31707317073171,9.75609756097561,"feculents"
"Equilibre","Italy",27.9947694581841,32.5999204047985,23.6454602308261,15.7598499061914,32.6086956521739,32.6086956521739,13.0434782608696,21.7391304347826,"proteines"
"Equilibre","Brazil",25.8611766059003,24.3602277301742,20.8695152107654,28.90908045316,32.6530612244898,24.4897959183673,14.2857142857143,28.5714285714286,"feculents"
"Equilibre","Greece",24.4559984594647,37.0614288465242,33.6260350471789,4.85653764683227,25.4901960784314,33.3333333333333,35.2941176470588,5.88235294117647,"fruits"
"Equilibre","Ukraine",48.8408732838172,21.0293345337235,0,30.1297921824593,51.1627906976744,20.9302325581395,0,27.906976744186,"feculents"
"PresqueEquilibre","Finland",33.6492178098676,0,23.9545728038508,42.3962093862816,33.3333333333333,0,20.5128205128205,46.1538461538462,"legumes"
"Equilibre","Spain",28.4523300555793,22.7020094057289,7.43907652843095,41.4065840102608,35.2941176470588,29.4117647058824,5.88235294117647,29.4117647058824,"feculents"
"PresqueEquilibre","France",0,30.9465808247781,36.3580998781973,32.6953192970245,0,29.2682926829268,36.5853658536585,34.1463414634146,"fruits"
"Equilibre","South Korea",30.6233227616492,38.0824591363747,0,31.2942181019761,21.875,31.25,0,46.875,"legumes"
"PasEquilibre","USA",21.5077605321508,60.0104343289422,4.14764575453241,14.3341593843746,35.2941176470588,29.4117647058824,5.88235294117647,29.4117647058824,"feculents"
"Equilibre","Italy",11.8679842655665,63.3023121941859,7.92478173270652,16.904921807541,31.25,25,18.75,25,"feculents"
"Equilibre","Brazil",37.149465163342,28.4330731425267,7.19861231569818,27.2188493784331,35,25,10,30,"feculents"
"Equilibre","Greece",32.0062860136197,29.8480880041907,12.8653745416448,25.2802514405448,38.8888888888889,27.7777777777778,11.1111111111111,22.2222222222222,"feculents"
"PasEquilibre","Ukraine",28.5289010171173,25.0558174150335,0,46.4152815678492,27.2727272727273,18.1818181818182,0,54.5454545454545,"legumes"
