"item_id","zone","Nom_zone","num","tester_id","id_form","nb_visites","tps"
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"131f7620-d15d-4560-86ab-564145745b9b",48,5,2283
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"b20e7a20-ca68-410c-8214-fbb92bfdfe17",47,3,752
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,13,6668
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,6,1436
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,2,855
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,19,4522
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"14229a71-f44e-4149-9f3c-aa7415691eae",42,2,515
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"149c1889-4e83-4153-b763-54fb60e60d99",41,22,8434
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"e433aa11-cdb7-4733-88a9-7067cf52299b",40,21,4853
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"fd0537e8-3103-47f8-9998-44570bb8a45e",39,14,2645
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"199d1269-1d8a-420a-a986-1f4f2ab4355f",38,3,2892
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"915ec45f-204b-411d-8ed7-7fdecb385e39",35,14,3684
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"e87291fb-8da5-4c7a-af30-4413737f2401",29,5,1933
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"03964ff9-d24f-4a0a-a492-3a177e16eb11",28,3,1811
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"473d2e90-02dd-483e-ad19-3966ec20050a",27,3,1227
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"4ed0a862-3163-449b-bb48-ca8b9ce3add0",26,15,3667
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"cc933e0b-091f-4ef4-bfc8-11f2076d4396",25,7,1395
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"073891b7-a928-4ff0-83e3-56f4d1a6315e",24,3,664
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"9577727a-fa45-4185-9778-4a56a41cf0f6",22,2,1650
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"cd0a0a46-7676-4bf0-ad03-2e83bd565fee",23,3,1117
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"bf743fbf-9be2-49a1-bf7e-0b53276e6529",21,3,1154
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78",20,5,1149
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"035a43cf-cf88-4675-85e7-11eeb0b3641c",18,19,9402
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"65681129-f83c-4293-9ce3-9d1429367fd0",19,6,1886
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"398e712a-fae6-451d-83c9-a7e500227e62",17,2,402
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c",15,2,388
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"27e050a3-45e8-4076-9c25-32be9040da4e",16,3,1629
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"06026e76-f9a4-4fb9-877d-bcd33373cdab",13,15,3212
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a",14,3,1158
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"de86783a-ac86-419a-a230-dad6b421fba4",11,3,1951
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"cea293cd-b0b1-40ea-8e71-756b3956e8ad",10,6,2657
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"055d198c-f8b0-47b7-9eb3-94fc57808f93",9,6,1734
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"54c68134-2c2a-4f2e-974b-32310830af0e",8,8,3263
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"df6523cd-3270-4298-8d6f-00aa8e9455e6",7,6,1457
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"9610f0dd-ff9f-4bd4-b311-459a04f965ca",5,6,2146
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1",6,12,4131
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"646465ef-0ad6-44cc-bd31-de24e1487943",4,6,1524
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"10e732f6-9a6a-474a-82e2-a4060fc8dffe",3,7,3266
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"131ecf76-b806-4557-b2c0-183a418357ba",2,2,574
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"38c90b27-ea8c-4111-a922-4e81390fefab",37,2,1407
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"5b5b9eb7-f06a-48a3-b3e8-675a7f2faf18",36,1,77
