"tester_id","id_item","pays","num_stimulus","feculents","proteines","fruits","legumes","produits_laitiers","tps_tot","pct_feculents","pct_proteines","pct_fruits","pct_legumes","pct_produits_laitiers","max","cat_max","classe"
"27e050a3-45e8-4076-9c25-32be9040da4e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",3864,2054,0,4874,0,10792,35.8042994810971,19.0326167531505,0,45.1630837657524,0,4874,"legumes","PresqueEquillibré"
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",4085,1966,0,2518,0,8569,47.6718403547672,22.9431672307154,0,29.3849924145174,0,4085,"feculents","PresqueEquillibré"
"398e712a-fae6-451d-83c9-a7e500227e62","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",571,0,0,608,0,1179,48.4308736217133,0,0,51.5691263782867,0,608,"legumes","PasEquillibré"
"65681129-f83c-4293-9ce3-9d1429367fd0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",15255,6744,0,1441,0,23440,65.0810580204778,28.7713310580205,0,6.14761092150171,0,15255,"feculents","PresqueEquillibré"
"035a43cf-cf88-4675-85e7-11eeb0b3641c","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",12313,3972,0,14608,0,30893,39.8569255171074,12.857281584825,0,47.2857928980675,0,14608,"legumes","PresqueEquillibré"
"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",2974,1657,0,2208,0,6839,43.4858897499634,24.2286884047375,0,32.285421845299,0,2974,"feculents","PasEquillibré"
"bf743fbf-9be2-49a1-bf7e-0b53276e6529","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",3512,2108,0,1876,0,7496,46.8516542155816,28.1216648879402,0,25.0266808964781,0,3512,"feculents","PresqueEquillibré"
"cd0a0a46-7676-4bf0-ad03-2e83bd565fee","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",2549,1265,0,1970,0,5784,44.0698478561549,21.8706777316736,0,34.0594744121715,0,2549,"feculents","PasEquillibré"
"9577727a-fa45-4185-9778-4a56a41cf0f6","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",2761,0,0,1821,0,4582,60.2575294631165,0,0,39.7424705368835,0,2761,"feculents","Equillibré"
"073891b7-a928-4ff0-83e3-56f4d1a6315e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",3355,395,0,4518,0,8268,40.5781325592646,4.77745524915336,0,54.644412191582,0,4518,"legumes","Equillibré"
