"num_stimulus","Equilibre","PasEquilibre","PresqueEquilibre","pct_feculents_tps","pct_proteines_tps","pct_legumes_tps","pct_fruits_tps","X48","X47","X45","X46","X44","X43","X42","X41","X40","X39","X38","X35","X29","X28","X27","X26","X25","X24","X22","X23","X21","X20","X18","X19","X17","X15","X16","X13","X14","X11","X10","X9","X8","X7","X5","X6","X4","X3","X2","X37","X36","X34","X33","X32","X31","X30"
"156",10,16,19,47.5449758586014,22.0048672694912,30.4501568719073,0,"Equilibre","PasEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","PasEquilibre","PasEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","PasEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","PasEquilibre","PasEquilibre","PasEquilibre", ,"PasEquilibre","PresqueEquilibre","PasEquilibre","PasEquilibre"
"238",32,3,10,25.8439177661756,39.5744527090835,21.0323380722573,13.5492914524836,"PasEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre", ,"Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PasEquilibre","Equilibre","Equilibre","Equilibre","Equilibre"
"327",4,30,11,29.418527711336,45.1546299060914,15.0569292626965,10.3699131198761,"PasEquilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre", ,"PasEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","Equilibre","PasEquilibre","Equilibre","PasEquilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","Equilibre","Equilibre","PasEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","PresqueEquilibre"
"352",21,3,20,39.6419682380718,20.7756156256581,22.6306502143697,16.9517659219004,"PasEquilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre", ,"PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre", ,"Equilibre","Equilibre","PresqueEquilibre","PasEquilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre"
"421",13,12,20,0,40.5860844181369,21.6210371693579,37.7928784125052,"PasEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","PasEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre", ,"PresqueEquilibre","Equilibre","PresqueEquilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","Equilibre","PasEquilibre","PasEquilibre"
"489",32,1,13,28.9129469776478,39.7671789764134,31.3198740459388,0,"PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PasEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre"
"672",10,11,24,34.2255569419259,0,44.3190068754741,21.4554361826,"PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","PasEquilibre","PresqueEquilibre", ,"PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","PasEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre","PasEquilibre","Equilibre","PasEquilibre","PresqueEquilibre"
"756",34,0,11,39.2835133304496,27.1815053871361,26.8311348105395,6.70384647187477,"Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre", ,"Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre"
"980",35,1,6,34.0643999448763,35.2860795112436,13.1141039715811,17.535416572299,"Equilibre", ,"Equilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre", ,"Equilibre","PresqueEquilibre","PasEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre", ,"Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre", ,"Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre"
