"id","num_stimulus","legumes_fix","feculents_fix","proteines_fix","fruits_fix","legumes_tps","feculents_tps","proteines_tps","fruits_tps","classe","tester_id","item_id","pays","tot_fix","pct_feculents_fix","pct_proteines_fix","pct_legumes_fix","pct_fruits_fix","tot_tps","pct_feculents_tps","pct_proteines_tps","pct_legumes_tps","pct_fruits_tps"
10,156,4,4,1,0,1559,1240,260,0,"PresqueEquilibre","cea293cd-b0b1-40ea-8e71-756b3956e8ad","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",9,44.4444444444444,11.1111111111111,44.4444444444444,0,3059,40.5361229159856,8.4995096436744,50.96436744034,0
11,156,1,3,1,0,910,573,338,0,"PresqueEquilibre","de86783a-ac86-419a-a230-dad6b421fba4","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",5,60,20,20,0,1821,31.4662273476112,18.5612300933553,49.9725425590335,0
14,156,2,3,2,0,484,530,258,0,"Equilibre","9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",7,42.8571428571429,28.5714285714286,28.5714285714286,0,1272,41.6666666666667,20.2830188679245,38.0503144654088,0
13,156,7,14,4,0,1299,3798,1748,0,"PresqueEquilibre","06026e76-f9a4-4fb9-877d-bcd33373cdab","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",25,56,16,28,0,6845,55.4857560262966,25.5368882395909,18.9773557341125,0
16,156,1,4,1,0,290,1577,162,0,"PresqueEquilibre","27e050a3-45e8-4076-9c25-32be9040da4e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",6,66.6666666666667,16.6666666666667,16.6666666666667,0,2029,77.7230162641695,7.98422868408083,14.2927550517496,0
15,156,1,5,2,0,274,1114,657,0,"PresqueEquilibre","4995f6d3-50ed-427d-9cf2-4ea0b81a229c","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",8,62.5,25,12.5,0,2045,54.4743276283619,32.1271393643032,13.398533007335,0
17,156,0,1,1,0,0,349,349,0,"PasEquilibre","398e712a-fae6-451d-83c9-a7e500227e62","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,50,0,0,698,50,50,0,0
19,156,1,9,3,0,17,3892,1124,0,"PresqueEquilibre","65681129-f83c-4293-9ce3-9d1429367fd0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",13,69.2307692307692,23.0769230769231,7.69230769230769,0,5033,77.3296244784423,22.3326048082655,0.337770713292271,0
18,156,4,7,3,0,2493,3352,2009,0,"PresqueEquilibre","035a43cf-cf88-4675-85e7-11eeb0b3641c","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",14,50,21.4285714285714,28.5714285714286,0,7854,42.6788897377133,25.5793226381462,31.7417876241406,0
20,156,1,3,0,0,445,616,0,0,"PasEquilibre","aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",4,75,0,25,0,1061,58.0584354382658,0,41.9415645617342,0
21,156,1,3,1,0,638,427,198,0,"PresqueEquilibre","bf743fbf-9be2-49a1-bf7e-0b53276e6529","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",5,60,20,20,0,1263,33.8083927157561,15.6769596199525,50.5146476642914,0
23,156,1,2,1,0,239,661,402,0,"PasEquilibre","cd0a0a46-7676-4bf0-ad03-2e83bd565fee","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",4,50,25,25,0,1302,50.7680491551459,30.8755760368664,18.3563748079877,0
22,156,1,0,0,0,1153,0,0,0,"Equilibre","9577727a-fa45-4185-9778-4a56a41cf0f6","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",1,0,0,100,0,1153,0,0,100,0
24,156,0,4,1,0,0,2060,855,0,"Equilibre","073891b7-a928-4ff0-83e3-56f4d1a6315e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",5,80,20,0,0,2915,70.6689536878216,29.3310463121784,0,0
25,156,4,7,2,0,1106,1358,746,0,"Equilibre","cc933e0b-091f-4ef4-bfc8-11f2076d4396","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",13,53.8461538461538,15.3846153846154,30.7692307692308,0,3210,42.3052959501558,23.2398753894081,34.4548286604361,0
26,156,2,8,4,0,791,3384,882,0,"PresqueEquilibre","4ed0a862-3163-449b-bb48-ca8b9ce3add0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",14,57.1428571428571,28.5714285714286,14.2857142857143,0,5057,66.917144552106,17.4411706545383,15.6416847933557,0
27,156,1,2,1,0,798,378,345,0,"PresqueEquilibre","473d2e90-02dd-483e-ad19-3966ec20050a","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",4,50,25,25,0,1521,24.8520710059172,22.6824457593688,52.465483234714,0
