"id","num_stimulus","legumes_fix","feculents_fix","proteines_fix","fruits_fix","legumes_tps","feculents_tps","proteines_tps","fruits_tps","classe","tester_id","item_id","pays","tot_fix","pct_feculents_fix","pct_proteines_fix","pct_legumes_fix","pct_fruits_fix","tot_tps","pct_feculents_tps","pct_proteines_tps","pct_legumes_tps","pct_fruits_tps"
19,156,0,3,1,0,0,623,172,0,"PresqueEquilibre","65681129-f83c-4293-9ce3-9d1429367fd0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",4,75,25,0,0,795,78.3647798742138,21.6352201257862,0,0
18,156,1,1,1,0,230,1272,1272,0,"PresqueEquilibre","035a43cf-cf88-4675-85e7-11eeb0b3641c","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",3,33.3333333333333,33.3333333333333,33.3333333333333,0,2774,45.8543619322278,45.8543619322278,8.29127613554434,0
20,156,1,1,0,0,48,201,0,0,"PasEquilibre","aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,0,50,0,249,80.7228915662651,0,19.2771084337349,0
21,156,0,1,1,0,0,198,198,0,"PresqueEquilibre","bf743fbf-9be2-49a1-bf7e-0b53276e6529","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,50,0,0,396,50,50,0,0
23,156,0,1,0,0,0,203,0,0,"PasEquilibre","cd0a0a46-7676-4bf0-ad03-2e83bd565fee","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",1,100,0,0,0,203,100,0,0,0
22,156,1,0,0,0,256,0,0,0,"Equilibre","9577727a-fa45-4185-9778-4a56a41cf0f6","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",1,0,0,100,0,256,0,0,100,0
24,156,0,1,0,0,0,471,0,0,"Equilibre","073891b7-a928-4ff0-83e3-56f4d1a6315e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",1,100,0,0,0,471,100,0,0,0
25,156,2,2,0,0,318,269,0,0,"Equilibre","cc933e0b-091f-4ef4-bfc8-11f2076d4396","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",4,50,0,50,0,587,45.8262350936968,0,54.1737649063032,0
26,156,1,2,1,0,504,670,392,0,"PresqueEquilibre","4ed0a862-3163-449b-bb48-ca8b9ce3add0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",4,50,25,25,0,1566,42.7841634738187,25.0319284802043,32.183908045977,0
27,156,0,1,1,0,0,158,158,0,"PresqueEquilibre","473d2e90-02dd-483e-ad19-3966ec20050a","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,50,0,0,316,50,50,0,0
28,156,0,1,0,0,0,364,0,0,"PresqueEquilibre","03964ff9-d24f-4a0a-a492-3a177e16eb11","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",1,100,0,0,0,364,100,0,0,0
29,156,0,1,1,0,0,317,317,0,"PresqueEquilibre","e87291fb-8da5-4c7a-af30-4413737f2401","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,50,0,0,634,50,50,0,0
35,156,2,0,0,0,1088,0,0,0,"Equilibre","915ec45f-204b-411d-8ed7-7fdecb385e39","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,0,0,100,0,1088,0,0,100,0
37,156,1,1,0,0,42,130,0,0,"PasEquilibre","38c90b27-ea8c-4111-a922-4e81390fefab","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,0,50,0,172,75.5813953488372,0,24.4186046511628,0
30,156,0,1,1,0,0,124,124,0,"PasEquilibre","4436282c-7d0f-4334-ba8d-80b7cfe2b849","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,50,0,0,248,50,50,0,0
31,156,1,1,0,0,218,17,0,0,"PasEquilibre","98a2ab99-afcb-447e-ae8d-4b96b374e4d7","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,0,50,0,235,7.23404255319149,0,92.7659574468085,0
32,156,0,0,0,0,0,0,0,0,"PresqueEquilibre","6caef30c-9e58-4bd8-bf6a-e3dcac4256f1","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",0, , , , ,0, , , , 
33,156,1,2,1,0,95,356,273,0,"PasEquilibre","c19419a4-de5b-4642-b925-120bf7999f25","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",4,50,25,25,0,724,49.171270718232,37.707182320442,13.121546961326,0
36,156,1,0,0,0,153,0,0,0,"PasEquilibre","5b5b9eb7-f06a-48a3-b3e8-675a7f2faf18","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",1,0,0,100,0,153,0,0,100,0
38,672,1,0,0,0,811,0,0,0,"PresqueEquilibre","199d1269-1d8a-420a-a986-1f4f2ab4355f","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",1,0,0,100,0,811,0,0,100,0
39,672,3,1,0,0,621,201,0,0,"PresqueEquilibre","fd0537e8-3103-47f8-9998-44570bb8a45e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",4,25,0,75,0,822,24.4525547445255,0,75.5474452554745,0
41,672,1,3,0,2,14,1385,0,1057,"PresqueEquilibre","149c1889-4e83-4153-b763-54fb60e60d99","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",6,50,0,16.6666666666667,33.3333333333333,2456,56.3925081433225,0,0.570032573289902,43.0374592833876
42,672,0,0,0,0,0,0,0,0,"PasEquilibre","14229a71-f44e-4149-9f3c-aa7415691eae","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",0, , , , ,0, , , , 
43,672,2,2,0,2,457,563,0,563,"Equilibre","a724528f-7fe6-4ad6-bba1-21cb02db2af5","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",6,33.3333333333333,0,33.3333333333333,33.3333333333333,1583,35.5653821857233,0,28.8692356285534,35.5653821857233
44,672,1,1,0,1,95,157,0,157,"Equilibre","4f5ae77c-6112-401a-93d1-3bf44bd1ccbe","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",3,33.3333333333333,0,33.3333333333333,33.3333333333333,409,38.3863080684597,0,23.2273838630807,38.3863080684597
46,672,2,1,0,1,351,160,0,160,"PresqueEquilibre","4f147d0e-54ac-4b89-a269-aaa7819fb0ef","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",4,25,0,50,25,671,23.8450074515648,0,52.3099850968703,23.8450074515648
45,672,2,1,0,0,1105,316,0,0,"PresqueEquilibre","c464d108-c77f-41e7-bcbc-d5855c9a7968","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",3,33.3333333333333,0,66.6666666666667,0,1421,22.237860661506,0,77.762139338494,0
47,672,0,1,0,1,0,249,0,249,"PresqueEquilibre","b20e7a20-ca68-410c-8214-fbb92bfdfe17","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",2,50,0,0,50,498,50,0,0,50
48,672,1,0,0,0,419,0,0,0,"PresqueEquilibre","131f7620-d15d-4560-86ab-564145745b9b","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",1,0,0,100,0,419,0,0,100,0
2,672,0,1,0,1,0,710,0,710,"PresqueEquilibre","131ecf76-b806-4557-b2c0-183a418357ba","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",2,50,0,0,50,1420,50,0,0,50
3,672,4,0,0,0,981,0,0,0,"PresqueEquilibre","10e732f6-9a6a-474a-82e2-a4060fc8dffe","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",4,0,0,100,0,981,0,0,100,0
4,672,0,1,0,0,0,641,0,0,"PasEquilibre","646465ef-0ad6-44cc-bd31-de24e1487943","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",1,100,0,0,0,641,100,0,0,0
6,672,2,1,0,1,680,416,0,416,"PresqueEquilibre","aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",4,25,0,50,25,1512,27.5132275132275,0,44.973544973545,27.5132275132275
