"id_tester","id","id_item","num_stimulus","pays","feculents_fix","proteines_fix","fruits_fix","legumes_fix","fix_tot","feculents_tps","proteines_tps","fruits_tps","legumes_tps","tps_tot","pct_feculents_tps","pct_proteines_tps","pct_fruits_tps","pct_legumes_tps","max","cat_max_tps","pct_feculents_fix","pct_proteines_fix","pct_fruits_fix","pct_legumes_fix","cat_max_fix"
"b20e7a20-ca68-410c-8214-fbb92bfdfe17",47,"f61f9030-d814-495d-af95-0e643697de64",352,"Brazil",4,3,2,5,14,2445,1920,1069,1703,7137,34.2580916351408,26.9020596889449,14.9782821913969,23.8615664845173,5,"feculents",28.5714285714286,21.4285714285714,14.2857142857143,35.7142857142857,"legumes"
"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,"34359006-f70f-438e-85d0-420cf2fe6944",156,"Ukraine",34,11,0,20,65,14655,9656,0,8660,32971,44.4481514057808,29.2863425434473,0,26.2655060507719,34,"feculents",52.3076923076923,16.9230769230769,0,30.7692307692308,"feculents"
"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,"20f3c152-6ebf-49db-8e1a-00eebd99feb6",672,"Finland",32,0,15,50,97,12861,0,6392,12709,31962,40.2384081096302,0,19.9987485138602,39.7628433765096,50,"feculents",32.9896907216495,0,15.4639175257732,51.5463917525773,"legumes"
"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,"213479f7-39af-4b83-b0e9-4ba473d27429",756,"Spain",10,5,3,10,28,2844,1794,856,2400,7894,36.0273625538384,22.7261211046364,10.8436787433494,30.4028375981758,10,"feculents",35.7142857142857,17.8571428571429,10.7142857142857,35.7142857142857,"legumes"
"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,"7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",421,"France",0,14,11,14,39,0,6744,4566,3596,14906,0,45.2435260968737,30.6319602844492,24.124513618677,14,"fruits",0,35.8974358974359,28.2051282051282,35.8974358974359,"legumes"
"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,"cc2a8b56-732c-4e4c-a058-248783b68587",489,"South Korea",12,20,0,22,54,7243,11600,0,10896,29739,24.3552237802213,39.0060190322472,0,36.6387571875315,22,"legumes",22.2222222222222,37.037037037037,0,40.7407407407407,"legumes"
"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,"dd13fcba-0ae1-43d3-9d32-1672ed84f151",327,"USA",18,16,3,4,41,8343,8670,1277,691,18981,43.9544807965861,45.677256203572,6.72778041199094,3.64048258785101,18,"feculents",43.9024390243902,39.0243902439024,7.31707317073171,9.75609756097561,"feculents"
"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,"6afda059-04a5-4308-b776-a532ed142284",238,"Italy",15,15,6,10,46,4924,5734,4159,2772,17589,27.9947694581841,32.5999204047985,23.6454602308261,15.7598499061914,15,"feculents",32.6086956521739,32.6086956521739,13.0434782608696,21.7391304347826,"proteines"
"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,"f61f9030-d814-495d-af95-0e643697de64",352,"Brazil",16,12,7,14,49,4497,4236,3629,5027,17389,25.8611766059003,24.3602277301742,20.8695152107654,28.90908045316,16,"legumes",32.6530612244898,24.4897959183673,14.2857142857143,28.5714285714286,"feculents"
"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,"5445f170-12c1-48fc-9563-3709dd2993b0",980,"Greece",13,17,18,3,51,6350,9623,8731,1261,25965,24.4559984594647,37.0614288465242,33.6260350471789,4.85653764683227,18,"fruits",25.4901960784314,33.3333333333333,35.2941176470588,5.88235294117647,"fruits"
